question,answers
"Literally 'Practice of the Wheel of Law' in Chinese, what system of mind and body cultivation has been the focus of international attention since the Chinese government began a crackdown on it?",Falun Gong (or) Falun Dafa
"In 1994, Bill Gates bought The Codex Hammer at an auction for $30.8 million, making it the most expensive book ever. Whose writings does it contain?",Leonardo Da Vinci's
What agency of the US government is the operator of the largest civilian vehicle fleet in the world?,United States Postal Service (USPS)
"What are Herengracht, Prinsengracht, and Keizersgracht that are of significance to a certain European city?",Main canals of Amsterdam
Name of 2 of the 3 countries that are overlapped by the Afar triangle that has several important sites for those interested in early human studies.,"Eritrea, Ethiopia and Djibouti"
Name 2 of the 3 countries that had the most victims due to the 2004 Boxing Day tsunami.,"Indonesia, Sri Lanka, and India"
"Marangu, Rongai, Lemosho, Shira, Umbwe and Machame are the six official trekking routes for what 'uplifting' activity?",Climbing Mount Kilimanjaro
"The Propylaea, which has now come to mean any gateway, was originally an entrance to what magnificent ancient construction?",Acropolis in Athens
"Landseer's Lions, a set of four sculptures of lions surround which London monument?",Nelson's Column in Trafalgar Square
"Though it was the dream of many historical rulers including Nero, the Corinth Canal was completed only in 1893. It separates the Greek mainland from which other landmass?",Peloponnesian peninsula
"Taking its name from a Manchu word meaning 'the boundary between two countries', the Yalu river forms the border between what two countries?",China and North Korea
What are the only two South American countries that do not border Brazil?,Ecuador and Chile
What is the largest landmass that lies entirely in the Pacific Ocean?,"New Guinea, the second largest island in the world"
The Shatt al-Arab waterway constitutes a part of the border between which countries?,Iran and Iraq
"The Guayaquil Conference of July 22, 1822 saw the meeting of which two people regarded as the primary liberators of South America from Spain?",José de San Martín and Simón Bolívar
The Chaco War (1932-35) that was fought for a region (incorrectly) thought to be oil-rich is South America's bloodiest 20th century conflict. Which two land-locked countries were the participants?,Bolivia and Paraguay
"If Heinrich Schliemann is to Troy, the British archaeologist Leonard Woolley is to what ancient city?",Ur in Mesopotamia
Which long-serving Italian prime minister of the 20th century was kidnapped and tragically killed by a group called the Red Brigades in 1978?,Aldo Moro
What is the name of the fictional woman who is depicted as the national emblem of the French Republic?,Marianne
"In ancient Greece, the bematists who accompanied Alexander the Great on his campaigns were trained to measure what?",Distances (by counting their steps)
What are 'Potemkin villages' which were purportedly erected at the direction of Russian minister Grigori Potemkin to impress Empress Catherine II during her visit to Crimea in 1787?,Fake settlements
What two countries fought the six-day 'Football War' or the '100-hours War' in 1969?,El Salvador and Honduras
What two countries formed in 1993 as a result of what is known as the 'Velvet Divorce'?,Czech Republic and Slovakia
"""What 1945 classic satire was rejected for publication by T. S. Eliot as """"We have no conviction ... that this is the right point of view from which to criticise the political situation at the present time...""""?""",Animal Farm by George Orwell
The Pulitzer-nominated 1979 book The Madwoman in the Attic which examines Victorian literature from a feminist perspective takes its title from a plot point of what 1847 novel?,Charlotte Brontë's Jane Eyre
"""What are the first two lines of the poem Solitude by Ella Wheeler Wilcox whose next lines are shown below? """".................................................... ..................................................... For the sad old earth must borrow its mirth, But has trouble enough of its own...""""""","Laugh, and the world laughs with you; Weep, and you weep alone;"
The name of what literary swashbuckler is the answer to the final question in the Oscar winning Slumdog Millionaire?,Aramis
The phrase 'motiveless malignity' was used by S. T. Coleridge to describe which diabolic villain of literature?,Iago
"Just as Edward Bulwer-Lytton is associated with bombastic writing, what is the similarly famous poem of William McGonagall?",The Tay Bridge Disaster
What French novel is said to based on an epidemic that hit the Algerian city of Oran in 1849?,The Plague by Camus
"In technical terms, the unforgettable Jeeves of P. G. Wodehouse is a valet and not a butler. Why?",He serves a man and not a household
Misselthwaite Manor is the chief locale of what beloved children's novel that tells the coming of age story of Mary Lennox?,The Secret Garden by Frances Hodgson Burnett
The year 1819 is significant for lovers of English poetry because of the publication of six famous odes by whom?,John Keats (1795-1821)
"""What 1949 American work that is now a benchmark of the ecological movement is best known for the quote """"A thing is right when it tends to preserve the integrity, stability, and beauty of the biotic community. It is wrong when it tends otherwise.""""?""",A Sand County Almanac by Aldo Leopold
The central character of which 1919 novel is the reporter George Willard to whom the denizens of a certain American Midwest town confide their secrets?,"Winesburg, Ohio by Sherwood Anderson"
"During the Siege of Sarajevo in the 90s, Susan Sontag directed what play in a candlelit theater symbolizing the city's absurd anticipation of western intervention?",Samuel Beckett's Waiting for Godot
What ambiguous 1898 ghost story ends with the governess of Bly House holding the body of a dead child in her hands?,The Turn of the Screw by Henry James
"If 221B Baker Street is to Sherlock Holmes, 9 Bywater Street, Chelsea is to whom?",George Smiley
"Which loathsome character of English literature is thought to be partially based on a 19th century Jewish criminal named Ikey Solomon, who was once interviewed by Dickens?",Fagin from Oliver Twist
A museum outside Nairobi was donated by the Danish government in 1964 to the new Kenyan government as an independence gift. It was originally a residence of which writer?,Isak Dinesen/ Karen Blixen
"Similar to John Reed's Ten Days that Shook the World, which influential 1930s book by Edgar Snow is an account of the Communist Party of China?",Red Star Over China
"Which 1853 narrative poem of Matthew Arnold set in the orient tells the story of two feuding warrior-generals who, unknown to both, happen to be father and son?",Sohrab and Rustum
The murder of landlady Alena and the angst it causes in the psyche of the perpetrator is central to the plot of which 1866 literary classic?,Crime and Punishment by Fyodor Dostoevsky
The 1987 nonfiction book And the Band Played On by Randy Shilts chronicles the discovery and spread of what modern horror?,HIV/AIDS
The title of which 1959 play is the phrase that follows the lines 'What happens to a dream deferred? Does it dry up like ...' in a Langston Hughes poem?,A Raisin in the Sun by Lorraine Hansberry
"""""""Why is that you white people developed much cargo and brought it to New Guinea, but we black people had little cargo of our own?"""" asked Yali.Which 1997 book is the author's attempt to answer this question?""","Guns, Germs and Steel by Jared Diamond"
"Which poetic drama that was first performed in 1935 draws on the writing of Edward Grim, a clerk who was a witness to a killing in 1170?",Murder in the Cathedral by T. S. Eliot
"Which 1989 Spanish novel follows the story of young Tita who longs her entire life for Pedro but is only able to express her feelings through her cooking, which causes the people who taste it to experience what she feels?",Like Water for Chocolate by Laura Esquivel
Gamekeeper Oliver Mellors is the titular character of what controversial 1928 book?,Lady Chatterley's Lover by D. H. Lawrence
"If Cornelius Ryan's The Longest Day details the D-Day invasion of Normandy, and The Last Battle tells about the Battle of Berlin, which of his books tells the story of Operation Market Garden in WWII?",A Bridge Too Far (1974)
"Which writer, the first American to win the Nobel Prize for Literature created the fictional cities of Gopher Prairie, Minnesota and Zenith, Winnemac?",Sinclair Lewis (1885-1951)
Which 1966 postcolonial parallel novel by Jean Rhys acts as a prequel to Charlotte Brontë's 1847 novel Jane Eyre?,Wide Sargasso Sea
"""Which writer of Twenty Love Poems and a Song of Despair was once called """"the greatest poet of the 20th century in any language"""" by Gabriel García Márquez?""",Pablo Neruda (1904-1973)
What 1889 comic classic that describes a boating holiday on the Thames was initially intended to be a serious travel guide until the humorous elements took over and made the book what it now is?,Three Men in a Boat by Jerome K. Jerome
"""In the days of Haroun al-Rashid, Caliph of Baghdad, a poor porter pauses to rest on a bench outside the gate of a rich merchant's house, where he complains to Allah about the injustice of a world which allows the rich to live in ease while he must toil and yet remain poor. The owner of the house hears this, and sends for the porter, and it is found they are both named ___. The rich ___ tells the poor ___ that he became wealthy, """"by Fortune and Fate,"""" the details of which he will now proceed to relate. What magnificent adventures follow?""",Stories of Sindbad
"""The phrase """"it's better to burn out than to fade away"""" from Neil Young's classic song """"Hey Hey, My My (Into the Black)"""" became better known after being quoted in whose 1994 suicide note?""",Nirvana's Kurt Cobain
The short poem And did those feet in ancient time by William Blake that features the phrase 'dark satanic mills' is best known in what musical context?,The anthem Jerusalem
'The Jordanaires' are an American singing group formed in 1948 best known for backing many of whose recordings?,Elvis Presley's
"By his own request, which Austrian composer was buried next to Beethoven in 1828?",Franz Schubert (1797-1828)
Which set of 30 keyboard techniques were written by Johann Sebastian Bach to reportedly cure insomnia?,"""""""The Goldberg Variations"""" published in 1741"""
The Russian scientist Vasili Samarsky-Bykhovets has what pioneering connection with the periodic table of elements?,First person whose name was given to a chemical element.
"In the fall of 2013, The New England Journal of Medicine reported on a certain 'Mississippi Baby' whose case was thought of as a landmark event in medical history. The conclusions made about her were reversed in July 2014. She was in the news for what reason?",Cured of HIV
German engineer Arthur Scherbius invented the first of what machines extensively used during WWII?,Enigma machines
What is the only big cat species not currently protected under the U.S. Endangered Species Act?,African lion (Panthera leo)
The baryon asymmetry problem in physics deals with the anomaly of why the universe has any matter at all and why it is not filled with photons only. This is because the Big Bang should have produced equal amounts of what?,Matter and antimatter
What cell line used in research that was taken from an African-American woman who died in 1951 is the oldest and most commonly used human cell line?,HeLa cell line
The famed oil drop experiment performed by Millikan and Fletcher in 1909 helped determine what fundamental physical constant?,Charge of an electron
"""In June 1696 Bernoulli addressed a letter to the mathematicians of Europe challenging them to solve two problems concerning curves. Several people including Leibniz sent solutions. Whose solution was submitted anonymously but was recognized by Bernoulli with the words """"tanquam ex ungue leonem"""" (we know the lion by his claw)?""",Isaac Newton's
The spacecraft New Horizons which is expected to be the first spacecraft to flyby Pluto (in 2015) contains on board whose ashes as a tribute?,"Clyde Tombaugh, the discoverer of Pluto"
"The Goldbach's conjecture, one of the oldest unsolved problems in mathematics, states that every even integer greater than 2 can be expressed as a sum of what?",Two prime numbers
Dendrochronology is the method of determining age/timeline by the counting of what 'circles'? (hint: 'dendron' in Greek is?),Tree-rings
What are the four Galilean moons of Jupiter that are named after the lovers of Zeus in Greek myth?,"Io, Europa, Ganymede and Callisto"
"Derived from the name of an ancient King of Pontus, what is the practice of Mithridatism?",Protecting oneself against a poison by gradually self-administering non-lethal amounts.
"Found in suitable habitat throughout Southeast Asia and Northern Australia, what is largest of all living reptiles?",Saltwater or estuarine crocodile
The Klein bottle which has no distinction between inside and outside surfaces can be made by gluing two of what similar objects?,Möbius strips
"It is considered to be the first of its kind in the world of computers and has been alternately called 'Lahore', 'Pakistani' and 'UIUC', among others. What is it?","(c)Brain, considered the first computer virus for the PC"
What term describes the use of the gravity of a planet to alter the path and speed of an interplanetary spacecraft?,Gravitational slingshot (or) gravity assist
"""Nelson Mandela once gave the South African rugby player Francois Pienaar a copy of Theodore Roosevelt's """"The Man in the Arena"""" speech for inspiration. In a 2009 movie adaptation however, what literary work was used instead of Roosevelt's speech?""",The poem Invictus
What 'intoxicating' practice of the sporting world was started in 1967 by 24 Hours of Le Mans winner Dan Gurney?,Spraying champagne
"From 1928 until 2000, the obverse side of Olympic medals contained an image of which person seen holding a winners crown in her right hand?","Nike, the Greek goddess of victory"
What medieval sport is the official sport of Maryland as well as the first to be made an official sport by an American state?,Ring jousting
"The tennis player Vitas Gerulaitis was a colorful character. After finally beating Jimmy Connors after 16 straight losses, what did he quip?","""""""Nobody beats Vitas Gerulaitis 17 times in a row."""""""
"In literature, whose ghost haunted 'Macbeth'?",BANQUO'S
"In Greek mythology, what form did Zeus take so he could make love to Danae?",A SHOWER OF GOLD
Which is the brightest star in the constellation Virgo?,SPICA
What name is given to a baby Porcupine?,PORCUPETTE
Give a year in the life of composer Johann Sebastian Bach?,1685 - 1750
Give a year in the reign of King Richard II.,1377-1399
Gertrude Ederle became the first woman to do what on August 6th 1926?,SWIM THE ENGLISH CHANNEL
Give either of the forenames of author A S Byatt.,ANTONIA SUSAN
Give either of the forenames of author H E Bates.,HERBERT ERNEST
"According to Monday's child rhyme, what is Friday's child?",Loving and Giving
"In the 'Batman' stories, which character was played by Pat Hindle on screen, and by Neil Hamilton on ty?",POLICE COMMISSIONER GORDON
"""Which family did Clint Eastwood deliberately pit against the 'Rojo family'. in """"A Fistful Of Dollars""""?""",'THE BAXTER FAMILY'
Which is the only athletics world record never to have been broken at the Olympic Games?,DISCUS
"Similarly, give any year in the life of the painter Paul Cézanne?",1839 - 1906
Which pop group recorded the hit album 'Back In Black' in 1980?,AC/DC
Which of the 'Spice Girls' advertises 'Jenny Craig' slimming meals on t.v.?,MELANIE BROWN (Scary Spice)
In which year was the Russian space station 'Mir' launched?,1986 (February)
"Where would you find Concorde, Emile Zola, Danube, Rome, Franklin D Roosevelt and Stalingrad in close proximity?",(Paris) METRO (Stations)
"""Who starred in the TV series """"Nice Guy Eddie"""" as a Liverpool private eye?""",Ricky Tomlinson
"""Which product was advertised to the tune of Bach's """"Air on a G- string""""?""",Hamlet Cigars
On which English river does the city of Leicester stand?,River Soar
Where in the human body is the Carotid Artery situated?,IN THE NECK
What would be the profession of a member of M.I.C.E.?,Member of the Institute of CIVIL ENGINEERS
Who was the sheriff of 'Four Feather Falls'?,'TEX TUCKER'
How often is the Oberammergau Passion Play performed?,EVERY TEN YEARS
Name the company featured in TV's 'Drop The Dead Donkey'?,'GLOBELINK NEWS'
Which is the largest cathedral in England?,LIVERPOOL ANGLICAN
In which language was the Magna Carta originally written?,LATIN
Which mountain rises 10200 metres from its ocean base although it is only 4205 metres above sea level?,MAUNA KEA (IN HAWAII)
Who created the newspaper strip cartoon “The Perishers”?,Maurice Dodd
Which tree is sometimes called the “false plane” tree?,Sycamore
What two colours are used on semaphore flags?,Red and Yellow
Which Australian tennis player twice partnered Britain’s John Lloyd to win the mixed doubles at Wimbledon/,Wendy Turnbull
Which carpet company’s advertising jingle proudly announced “This is luxury you can afford”?,Cyril Lord
Which type of spaniel takes its name from a stately home in Nottinghamshire?,Clumber
Who created the newspaper strip cartoon The Gambols?,Barry Appleby
Eliza Caird is the real name of which modern day pop singer?,Eliza Doolittle
What name is given to a resident of Colchester?,COLCESTRIAN
"In July 1989, which former Celtic footballer became the first high-profile Roman Catholic Scotsman to sign for Rangers in 100 years?",MAURICE 'MO' JOHNSTON
"""Which poem begins with the line """"My heart aches, and a drowsy numbness pains my sense, as though of hemlock I had drunk""""?""",'ODE TO A NIGHTINGALE' (by John Keats)
"If there are 100 pennies in a Pound, then there are 100 what in a Russian Rouble?",KOPEKS
Give either of the first names of Blackpool footballer DJ Campbell?,DUDLEY JUNIOR
"A distant relative of F. Scott Fitzgerald, who was the American boarding house owner who became the first woman executed by the United States federal government after her conviction for taking part in the conspiracy to assassinate Abraham Lincoln?",MARY SURRAT
"Which 1997 film starred Stephen Fry, Jude Law, Vanessa Redgrave and Jennifer Ehle?",Wilde
Who was the muse who provided the inspiration for Billy Joel’s “Uptown Girl”?,Christine Brinkley
"In the 1974 TV comedy “It Ain’t Half Hot Mum”, who played the part of Gunner Beaumont?",Melvyn Hayes
Which planet in the Solar System has diameter nearest to that of Earth?,VENUS
"In British horse racing, what is the minimum distance over which a 'flat race' is run?",FIVE FURLONGS
What is the German for Thursday?,DONNERSTAG
Who was British Prime Minister at the time of 'The Boston Tea Party'?,LORD(Frederick)NORTH
Which chemical element is named after a river?,RHENIUM (after the Rhine)
"""Which famous poem by Alfred, Lord Tennyson begins with the lines, """"On either side the river lie, long fields of barley and rye""""?""",'THE LADY OF SHALOT'
Which city in northeast France lies at the confluence of the Moselle and Seille rivers?,METZ
Give any year during which the Crimean War was fought?,1853 - 1856
Which product was advertised to the tune of Bach's 'Air On A G-String'?,HAMLET CIGARS
What domestic appliance was invented in 1901 by Alva J. Fisher?,ELECTRIC WASHING MACHINE
"In a statutory set of financial statements of a plc, for what does the I in the acronym EBIT stand?",Earnings before INTEREST and tax
Which music hall comedian was known as The Prime Minister of Mirth?,George Robey
"Neil Tennant is the lead singer of The Pet Shop Boys, but who is the other member of the band?",Chris Lowe
Who is New Zealand’s most capped Rugby Union player with 124 test appearences?,Richie McCaw
In which castle on the Isle of Wight was Charles I imprisoned for 14 months prior to his execution?,Carisbrooke
Who was the first astronaut to go in to space twice?,Virgil (Gus) Grissom
Which is the cheapest property on a Monopoly board?,Old Kent Road
"""What is the meaning of the Latin phrase """"Vide Infra""""?""",See Below
What was the address of Tony Hancock in 'Hancock's Half Hour'?,"'23 RAILWAY CUTTINGS, EAST CHEAM'"
What type of creature is a 'Shoat'?,A YOUNG PIG
What is the name of the fictitious brewery that supplies the 'Rovers Return' in 'Coronation Street'?,'NEWTON & RIDLEY'
What sort of animal is a 'Fennec'?,SMALL FOX
How many miles is the generally accepted boundary of Territorial Waters?,TWELVE MILES
"""Which product used the catchphrase """"hold it up to the light, not a stain and shining bright""""?""",SURF (washing powder)
"In Paris, next to which bridge and tunnel of the same name is there a memorial to Princess Diana?",PONT D'ALMA
'Richard Of York Gave Battle In Vain' is a mnemonic referring to what?,THE COLOURS OF THE RAINBOW (in order)
What sort of birds are Strigiforms?,OWLS
What was the name of Cutthroat Jake’s ship in the Captain Pugwash TV series?,The Flying Dustman
Who created the cartoon strip “The Perishers”?,Maurice Dodd
Which Thames dredger made the headlines in 1989 when it rammed the Marchioness pleasure boat?,The Bowbelle
Who played investigator Jim Hardie in the TV western series “Wells Fargo”?,Dale Robertson
The Lempira is the main unit of currency in which central American country?,Hondura
Which Austrian racing driver was the posthumous Formula One world champion in 1970?,Jochen Rindt
"The Bishop of Durham signs himself “Dunelm”. Similarly, which name is used by the Bishop of Rochester?",Roffen
What is the correct verbal title used when addressing a Baron?,"""""""MY LORD"""""""
What is the correct verbal title used when addressing a Cardinal?,"""""""YOUR EMINENCE"""""""
What sort of guides were published by George Bradshaw?,RAILWAY GUIDES
"On a standard typewriter keyboard, what is the last letter on the right of the middle row?",THE LETTER 'L'
"Give a year in the life of French military leader and saint,Joan-of-Arc?",1412 - 1431
What was the name ofthe character played by Richard Griffiths in the TV series 'Pie In The Sky'?,HENRY CRABBE
Give a year in the life of French philosopher and satirist Voltaire?,1694 - 1778
"Which 1997 film starring Danny de Vito, Russell Crowe, Kim Bassinger and Kevin Spacey was about a woman whose similarity to Veronica Lake involves her in a murder investigation?",'L.A.CONFIDENTIAL'
American Chester Carlson invented which now common office machine?,COPYING MACHINE
"In the 2001 General Election, which celebrity stood in the Stretford and Urmston constituency as an independent candidate attracting 713 votes?",KATIE PRICE (aka 'Jordan')
"Which chemical element, number 67 takes its name from the Latin for Stockholm?",HOLMIUM (Holmia)
Give a year in the life of Scottish chemist and physicist James Dewar?,1842 - 1923
What is the cost of a second class stamp for a letter up to 100 grams?,53 PENCE
What does the word mendacious mean?,Lying (deceitful)
Who played The Lone Ranger in the 1950's TV series?,Clayton Moore
Which two comedy actors had a hit in 1978 with you're the one that I want?,Arthur Mullard and Hylda Baker
Who was the last British winner of the Nobel Prize for Literature?,Doris Lessing (2007)
"In the original television run of 'Crossroads', which character was played by Roger Tonge?",'SANDY RICHARDSON'
"What is the chemical formula for the gas , nitrous oxide?",N2 O
"Which group of mammals belong to the order, Chiroptera?",BATS
What name is given to the wall of a Mosque that faces Mecca?,QIBLA WALL
"""What was advertised as """"spreading straight from the fridge""""?""",BLUE BAND MARGARINE
Give any year in the life of 'Ivan the Terrible'?,1530 - 1584
How many players are there in an Ice Hockey team?,SIX (6)
'Equivalent VIII' by Carl Andre is in Tate Modern in London. It comprises 120 of which item?,(Fire) BRICKS
Give either of the middle names of David Cameron?,WILLIAM DONALD
What has been made by the Chicago manufacturer R.S. Owens & Company since 1983?,'OSCAR' STATUETTES
Who is the famous mother of TV presenter Claudia Winkelman?,Eve Pollard
"In “Absolutely Fabulous”, who played Bubbles?",Jane Horrocks
"Specific areas of Britain, e.g. the Broads, are designated as ESA's. For what does the S stand?",Environmentally) SENSITIVE (Areas)
Give a year in the life of Leonardo do Vinci?,1452-1519
Which chess piece does Alice start off as in 'Through the Looking Glass'?,WHITE PAWN
"Which actress starred as 'Yvette', 'Rene's' employee and lover in the TV series 'Allo, Allo'?",VICKY MICHELLE
Which famous teacher taught at 'The Marcie Blain School For Girls'?,'MISS JEAN BRODIE'
Whose wife was killed by the 'Charles Manson Family'?,ROMAN POLANSKI'S
What is the currency of Papua New Guinea?,KINA
"In 'Peter Pan', what are 'Hook's' last words?","""""""FLOREAT ETONA"""""""
Which Spanish golferwon the 1994 US Masters tournament?,JOSE-MARIA OLAZABAL
"Which traditional pudding was named after the wife of George III, she was the patron of the growers of its main ingredient?",APPLE CHARLOTTE
"The Australianscall it a 'Glory Box', what do the British call it?",'BOTTOM DRAWER'
After which capital city is the metallic element Hafniumnamed?,COPENHAGEN (Hafnia)
Which Italian city is the capital of Tuscany?,FLORENCE (Firenze)
"Spiny, Clawed and Slipper are varieties of which creature?",LOBSTER
What is the most northerly area in the Shipping Forecast?,SOUTH EAST ICELAND
"The winner was the Spanish singer 'Massiel' with 'La,La,La' in the 1968 European Song Contest. Name the runner-up?",CLIFF RICHARD (with 'Congratulations')
What was the name of the nurse played by Lynda Barron in 'Open All Hours'?,'NURSE GLADYS EMMANUEL'
Which horse won the 2014 Cheltenham Gold Cup?,Lord Windermere
Billy Bunter lived in mortal fear of which cane-toting schoolmaster?,Mr Quelch
Who created and drew the comic strip “The Fosdyke Saga”?,Bill Tidy
"Which schoolboy, created by Anthony Buckeridge, attended Linbury Court School?",Jennings
Which two countries are linked by the Brenner Pass?,Italy and Austria
"In which form did Zeus seduce Danae, resulting in the birth of Perseus?",A SHOWER OF GOLD
Who had overall command of the Task Force sent to get the Argentineans out of the 'Falklands'?,ADMIRAL SANDY WOODWARD
"Where in the human body, would you find the 'Sartorius Muscle'?",IN THE THIGH
"What was the occupation of the Ford workers who went on strike in 1968, the subject of the film 'Made In Dagenham'?",SEWING MACHINISTS
In which film did Jane Fonda play a hooker to win the 1971 Best Actress Oscar?,Klute
What is the name of Dan Dare’s Wigan-born batman?,ALBERT FITZWILLIAM DIGBY
Who wrote the plays “Nuts in May” and “Abigail’s Party”?,Mike Leigh
What is 'Crepe de Chine'?,SILK FABRIC
"Give a year in the life of Scottish writer and biographer, James Boswell?",1740 - 1795
"Give a year in the life of English poet, Alexander Pope?",1688 - 1744
Which system of historical classification was devised by the 19th century Danish archaeologist Christian Jurgensen Thomsen?,"THE THREE AGE SYSTEM (Stone, Bronze and Iron Ages)"
"Which traditional pudding was named after the wife of George II, she was the patron of the growers of its main ingredient?",APPLE CHARLOTTE
"At which specific location could you see 'The Brazen Serpent', 'The Punishment Of Haman' and 'David Slaying Goliath'?",ON THE CEILING OF THE SISTINE CHAPEL
What is the astronomical terminology fro 3.26 light years?,PARSEC
Give any year in the life of the Spanish explorer Hernando Cortez?,1485 - 1547
In Netball only two players can score a goal. One is Goal Shooter. Who is the other?,GOAL ATTACK
What was the nickname of Ethiopian athlete Miruts Yifter?,'YIFTER THE SHIFTER'
With which heavy metal pop group is Angus Young associated?,'AC/DC'
What is added to Vermouth and Whisky to make a 'Manhattan' cocktail?,DASH OF BITTERS
"""Which work of fiction starts with the lines: """"The past is a foreign country: they do things differently there""""?""",'THE GO-BETWEEN' (by L.P. Hartley)
The Canal Turn fence at Aintree is named after which canal?,Leeds and Liverpool
In “Far from the Madding Crowd” who became Bathsheba Everdene’s first Husband?,Sergeant Troy
Who starred in the TV series “Nice Guy Eddie” as a Liverpool private investigator?,Ricky Tomlinson
"""Which product has had the advertising slogan """"Forces Grey Out, Forces White In""""?""",FAIRY SNOW
"""Which former international footballer was known as """"the wizard of the dribble""""?""",STANLEY MATHEWS
"In the Irish ballad, what did the 'Mountains of Mourne' do?","""""""SWEEP DOWN TO THE SEA"""""""
What was Cleo Laine's job when she first met Johnny Dankworth?,APPRENTICE HAIRDRESSER
What age horses run in the American Triple Crown races?,THREE YEAR OLDS
With what emblem is St. Peter usually portrayed?,KEYS
"Which family of birds, common throughout the world has the family name 'Strigidae'?",OWLS
"What was the name of the character played by Kevin Costner in the film, 'Dances With Wolves'?",Lt. JOHN DUNBAR
"What was the last Grand National winner ridden by an amateur, before 'Mr. Fisk'?",GRITTAR
Whose drum can be seen at Buckland Abbey in Devon?,FRANCIS DRAKE'S
Which famousfictional character was first introduced in a December 1927 edition of 'The Royal Magazine'?,MISS(Jane)MARPLE
Which battle of 10th October 732 AD saw Charles Martel lead the Franks to a decisive victory against the Moors?,BATTLE OF TOURS or POITIERS
Which product used the advertising slogan 'cuts cleaning time in half '?,FLASH
Who was the Roman goddess of wisdom?,MINERVA
"In cookery, what is 'Julienne'?",VEGETABLES CUT INTO THIN STRIPS
"In mathematics, which letter of the alphabet is given to the imaginary number equal to the square root of -1?",(the letter) i
Which fruit is affected by the benevolent fungus known as 'Noble Rot'?,GRAPE
Give any year in the life of Russian Empress Catherine the Great.,1729-1796
Which darts player is known as “The Count”?,Ted Hankey
Which writer created the detective Paul Temple?,Francis Durbridge
Who is the protagonist of the Robert Bolt play A Man for All Seasons?,SIR THOMAS MOORE
What does the Latin phrase 'Ad Valorem' mean?,ACCORDING TO THE VALUE
Who invented the breakfast cereal?,WILLIAM KELLOG
"""What line follows """"Suddenly, I'm not half the man I used to be"""", from the Beatles song 'Yesterday'?""","""""""THERE'S A SHADOW HANGING OVER ME"""""""
"""In the Beatles song, what line follows """"I should have known better with a girl like you""""?""","""""""THAT I WOULD LOVE EVERYTHING THAT YOU DO"""""""
The first decade of which century witnessed the succession to the throne of Edward II?,FOURTEENTH
Which song by 'The Wurzels' was set top the music 'Paloma Blanca'?,'I AM A CIDER DRINKER'
"In 1999, who became King of Jordan following the death of King Hussein?",PRINCE ABDULLAH
What is Cockney slang for a car?,"""""""JAM JAR"""""""
Name the detective in'The Mousetrap'?,'SERGEANT TROTTER'
Which school is attended by the students in the t.v. series 'Glee'?,'MCKINLEY HIGH'
Which London brewery merged with Bass in 1967 to form the largest brewery in the UK?,CHARRINGTON
Whose cottage is on the left of the Constable painting The Hay Wain?,WILLY LOTT
"What is the occupation of Oliver Smallbridge, played by Windsor Davies, and Simon Peel, played by Donald Sinden in the long running sitcom Never the Twain?",ANTIQUE DEALERS
Name any year in the life of the painter Botticelli?,1445 - 1510
Name any year in the life of the painter Rembrandt?,1606 - 1669
"What was the forename of the fictional detective, 'Inspector Maigret'.",JULES
"In TV's 'The Magic Roundabout', who rides around on a tricycle?",'MR. McHENRY'
There are two Household Cavalry regiments. Name either?,THE LIFE GUARDS and THE BLUES AND ROYALS
Who was the model for Millais' 'Ophelia' and later the wife of Dante Gabriel Rossetti?,ELIZABETH (LIZZIE) SIDDAL
In which Italian city would you find the famous 'Torre Pendente'?,PISA (the 'Leaning Tower')
Which engineer built the Bridgewater canal?,James Brindley
"If a plastic milk bottle in the UK has a green top, what type of milk is normally contained inside?",Semi Skimmed
On television which actor played Jim Hacker MP?,Paul Eddington
What is comedian Jasper Carrot's real name?,Robert Norman Davis
"Which famous 'Coronation Street' actress died on Boxing Day, 1983?",VIOLET CARSON ('Ena Sharples')
"Who was the original printer of 'Parliamentary Debates', a verbatim record of Parliamentary speeches?",THOMAS HANSARD
Which popular female show-jumper died during a competition in 1983?,CAROLINE BRADLEY
"Sometimes called 'Nucleons', give either of the subatomic particles in the atomic nucleus?",PROTON or NEUTRON
"According to the proverb, what do you need if you are going 'to sup with the Devil'?",A LONG SPOON
What does the musical term 'Pianissimo' mean?,VERY SOFT
Who was the Roman counterpart of Athene?,MINERVA
Which US state has Des Moines as its capital?,IOWA
Which former 'Liverbird' went on to play The District Nurse' on T.V?,Nerys Hughes
What did the English dancer Margaret Kelly found in 1932?,Bluebell Girls
Concerning the condition of a stamp what do the letters O.G. mean to a philatelist?,Original Gum
"Which actor, a former hospital patient in the T.V. comedy series 'Only When I Laugh' went on to play the Irish R.M.?",Peter Bowles
What was author Lewis Carroll's real surname?,Dodgson
"""What is the surname of former rally driver Roger Albert after whom the RAC Rally which began in 2004 is named - it follows a route based on the """"classic"""" RAC Rally first organised by the Royal Automobile Club in 1932?""",(ROGER ALBERT) CLARK
Which racecourse hosts the Scottish Grand National?,AYR
What did Nelson lose at Tenerife?,HIS ARM
"Which notorious couple lived at 25, Cromwell Street, Gloucester?",FRED and ROSE WEST
Give a year in the life of novellist Henry Fielding?,1707 - 1754
What would you do if you found the instruction 'Da Capo' on a piece of music?,REPEAT FROM THE BEGINNING
"Apart from sugar and eggs, what is marzipan made from?",(ground) ALMONDS
"Name the Roman equivalent to the Greek goddess, Pallas Athena?",MINERVA
